run_id,step,step_end,C,C_source_record,T,T_source_record
historical-above_hook_lr1e5-seed290416,0,1,0.009262649244755922,1,0.21875,0
historical-above_hook_lr1e5-seed290416,5,6,0.019653148827122824,6,0.171875,5
historical-above_hook_lr1e5-seed290416,10,11,0.03339913445772291,11,0.234375,10
historical-above_hook_lr1e5-seed290416,15,16,0.00902967237168667,16,0.390625,15
historical-above_hook_lr1e5-seed290416,20,21,0.009041436282513138,21,0.3984375,20
historical-above_hook_lr1e5-seed290416,25,26,0.02159958416301211,26,0.3203125,25
historical-above_hook_lr1e5-seed290416,30,31,-0.016583421109735152,31,0.46875,30
historical-above_hook_lr1e5-seed290416,35,36,0.020117635350685115,36,0.5,35
historical-above_hook_lr1e5-seed290416,40,41,0.006442919725189622,41,0.5,40
historical-above_hook_lr1e5-seed290416,45,46,-0.00811116892868724,46,0.5859375,45
historical-above_hook_lr1e5-seed290416,50,51,0.005231172665662975,51,0.640625,50
historical-above_hook_lr1e5-seed290416,55,56,0.0063277859404582415,56,0.5703125,55
historical-above_hook_lr1e5-seed290417,0,1,0.0015697224476945715,1,0.171875,0
historical-above_hook_lr1e5-seed290417,5,6,0.007106017423666872,6,0.2109375,5
historical-above_hook_lr1e5-seed290417,10,11,0.020297351070162006,11,0.3359375,10
historical-above_hook_lr1e5-seed290417,15,16,0.028310222854445954,16,0.3515625,15
historical-above_hook_lr1e5-seed290417,20,21,-0.0002340353904003445,21,0.3671875,20
historical-above_hook_lr1e5-seed290417,25,26,0.007678450703824891,26,0.4140625,25
historical-above_hook_lr1e5-seed290417,30,31,0.010553958610271585,31,0.5078125,30
historical-above_hook_lr1e5-seed290417,35,36,-0.005875489003403345,36,0.515625,35
historical-above_hook_lr1e5-seed290417,40,41,0.010150527032864065,41,0.5078125,40
historical-above_hook_lr1e5-seed290417,45,46,0.007168846057578171,46,0.59375,45
historical-above_hook_lr1e5-seed290417,50,51,0.009623969818526978,51,0.59375,50
historical-above_hook_lr1e5-seed290417,55,56,0.013030103616113453,56,0.6484375,55
historical-above_hook_lr1e5-seed290418,0,1,-0.0017298695818798449,1,0.1015625,0
historical-above_hook_lr1e5-seed290418,5,6,0.029301112112045558,6,0.171875,5
historical-above_hook_lr1e5-seed290418,10,11,0.019386826676369595,11,0.25,10
historical-above_hook_lr1e5-seed290418,15,16,0.010580620085010817,16,0.3359375,15
historical-above_hook_lr1e5-seed290418,20,21,0.016220376807570935,21,0.453125,20
historical-above_hook_lr1e5-seed290418,25,26,0.0025561811812209734,26,0.3515625,25
historical-above_hook_lr1e5-seed290418,30,31,0.009707498754378374,31,0.4609375,30
historical-above_hook_lr1e5-seed290418,35,36,0.004985544680003451,36,0.4375,35
historical-above_hook_lr1e5-seed290418,40,41,0.006807619110721197,41,0.59375,40
historical-above_hook_lr1e5-seed290418,45,46,3.763777218379616e-05,46,0.59375,45
historical-above_hook_lr1e5-seed290418,50,51,0.01338280912254819,51,0.5703125,50
historical-above_hook_lr1e5-seed290418,55,56,0.0049501080387510665,56,0.625,55
